Employment,Country,AISearchDevAdmired
"Employed, full-time",United States of America,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Student, full-time",Canada,NA
"Student, full-time",Norway,NA
"Student, full-time",United States of America,ChatGPT;GitHub Copilot
"Employed, full-time",United States of America,NA
"Student, full-time;Not employed, but looking for work",Uzbekistan,ChatGPT
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Independent contractor, freelancer, or self-employed",Serbia,ChatGPT;Google Gemini
"Employed, full-time",United States of America,GitHub Copilot;Google Gemini;Visual Studio Intellicode
"Employed, full-time",Poland,NA
"Employed, full-time",United States of America,NA
"Not employed, and not looking for work",Philippines,ChatGPT
"Employed, full-time",Bulgaria,NA
"Employed, full-time",Switzerland,ChatGPT;Google Gemini;Visual Studio Intellicode
"Student, full-time",Canada,ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Independent contractor, freelancer, or self-employed",India,NA
"Employed, full-time",Germany,ChatGPT;GitHub Copilot
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Germany,NA
"Employed, full-time",Germany,ChatGPT;GitHub Copilot
"Employed, full-time",Ireland,GitHub Copilot
"Employed, full-time",United States of America,NA
"Employed, full-time;Student, part-time",Italy,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",Italy,ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Employed, full-time;Independent contractor, freelancer, or self-employed",Ukraine,ChatGPT;Claude;GitHub Copilot
"Independent contractor, freelancer, or self-employed",United Kingdom of Great Britain and Northern Ireland,Visual Studio Intellicode
"Employed, full-time",Philippines,ChatGPT
"Student, full-time",Australia,ChatGPT
"Employed, full-time",United States of America,NA
"Employed, full-time",Brazil,ChatGPT
"Employed, full-time",Japan,NA
"Student, full-time",United States of America,ChatGPT;GitHub Copilot;Google Gemini;WolframAlpha
"Employed, full-time",United States of America,NA
"Independent contractor, freelancer, or self-employed",Austria,NA
"Employed, full-time","Iran, Islamic Republic of...",NA
"Independent contractor, freelancer, or self-employed",France,NA
"Student, full-time",Saudi Arabia,ChatGPT
"Employed, full-time",Brazil,GitHub Copilot
"Employed, full-time",Italy,ChatGPT
"Employed, full-time",Ireland,Codeium;OpenAI Codex
"Employed, full-time;Student, full-time",Austria,ChatGPT;Visual Studio Intellicode
"Employed, full-time",Romania,ChatGPT;Codeium;Google Gemini
"Employed, full-time;Student, part-time",United Kingdom of Great Britain and Northern Ireland,Google Gemini
"Employed, full-time",United States of America,NA
"Employed, part-time",United States of America,NA
"Independent contractor, freelancer, or self-employed",Germany,NA
"Employed, full-time",Germany,ChatGPT;Phind
"Student, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT
"Student, full-time;Employed, part-time",United States of America,ChatGPT;GitHub Copilot;Google Gemini;Visual Studio Intellicode;Whispr AI
"Student, part-time;Employed, part-time",Germany,GitHub Copilot;Google Gemini;WolframAlpha
"Employed, full-time",Bulgaria,ChatGPT
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,Bing AI
"Employed, full-time",Germany,NA
I prefer not to say,Italy,Bing AI;ChatGPT
"Employed, full-time",Turkey,NA
"Student, full-time",India,NA
"Not employed, but looking for work",Ireland,NA
"Student, full-time;Employed, part-time",Nepal,ChatGPT
"Employed, full-time",Switzerland,Visual Studio Intellicode
"Student, part-time",Algeria,ChatGPT;Visual Studio Intellicode
"Employed, full-time",Bulgaria,Bing AI
"Employed, full-time",Sweden,NA
"Student, full-time","Iran, Islamic Republic of...",NA
"Student, full-time",Switzerland,ChatGPT;GitHub Copilot;Google Gemini;Perplexity AI;WolframAlpha
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT;Visual Studio Intellicode
"Not employed, but looking for work",Netherlands,ChatGPT;GitHub Copilot;Google Gemini
"Employed, full-time",Croatia,ChatGPT;Google Gemini
"Not employed, and not looking for work",Australia,NA
"Employed, full-time",Sweden,ChatGPT;Visual Studio Intellicode
"Employed, full-time;Student, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",Pakistan,NA
"Employed, full-time",Czech Republic,ChatGPT
"Employed, full-time",Switzerland,NA
"Not employed, but looking for work",India,NA
"Employed, full-time",United States of America,NA
"Employed, full-time;Student, part-time",Republic of North Macedonia,NA
"Employed, full-time",United States of America,Amazon Q;Bing AI;ChatGPT
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Employed, full-time",Germany,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Finland,GitHub Copilot
"Employed, full-time;Independent contractor, freelancer, or self-employed",Slovakia,NA
"Employed, full-time",Poland,NA
"Not employed, but looking for work",United States of America,NA
"Not employed, and not looking for work",United States of America,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,Bing AI;ChatGPT;GitHub Copilot
"Employed, full-time",Germany,NA
"Independent contractor, freelancer, or self-employed",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",India,ChatGPT;Snyk Code
I prefer not to say,Russian Federation,NA
"Student, full-time",Poland,GitHub Copilot;WolframAlpha
"Employed, full-time",United States of America,Amazon Q;GitHub Copilot
"Employed, full-time",Ireland,NA
"Student, part-time","Iran, Islamic Republic of...",Bing AI;ChatGPT
"Employed, full-time",Greece,NA
"Employed, full-time",India,ChatGPT;GitHub Copilot
"Employed, full-time",United States of America,NA
"Employed, full-time",Italy,Bing AI;ChatGPT;Google Gemini;Visual Studio Intellicode
"Student, full-time",Israel,ChatGPT
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT;GitHub Copilot;Google Gemini
"Employed, full-time;Independent contractor, freelancer, or self-employed",Poland,Bing AI;ChatGPT;Visual Studio Intellicode
"Employed, full-time",Italy,ChatGPT;GitHub Copilot
"Independent contractor, freelancer, or self-employed",France,Visual Studio Intellicode
"Employed, full-time",Germany,NA
"Employed, full-time",India,ChatGPT
"Student, full-time",Italy,NA
"Employed, full-time",United States of America,Bing AI
"Employed, full-time",Belgium,NA
"Student, full-time",Australia,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Greece,Bing AI;ChatGPT;Google Gemini
"Student, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Ireland,ChatGPT;GitHub Copilot
"Employed, full-time",United States of America,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Turkey,NA
"Employed, full-time",United States of America,GitHub Copilot;Google Gemini;Visual Studio Intellicode
"Employed, full-time",Germany,NA
